car_name,length,width,height
Alfa Romeo RM Sport, 425 cm or 167.32 inches , 168 cm or 66.14 inches , 165 cm or 64.96 inches 
Alfa Romeo RL Super Sport Zagato, 463 cm or 182.28 inches , 177 cm or 69.69 inches , 165 cm or 64.96 inches 
Alfa Romeo RL Super Sport Castagna, 445 cm or 175.2 inches , 187 cm or 73.62 inches , 163 cm or 64.17 inches 
Alfa Romeo 6C 1500 Sport James Young, 423 cm or 166.54 inches , 183 cm or 72.05 inches , 167 cm or 65.75 inches 
Alfa Romeo 6C 1500 Super Sport , 400 cm or 157.48 inches , 163 cm or 64.17 inches , 135 cm or 53.15 inches 
Alfa Romeo 6C 1750 Gran Turismo, - cm or - inches , - cm or - inches , - cm or - inches 
Aixam Evolution 500, 288.5 cm or 113.58 inches , 144 cm or 56.69 inches , - cm or - inches 
Aiways U5 Standard, 468 cm or 184.25 inches , 186.5 cm or 73.43 inches , 170 cm or 66.93 inches 
Adler 1.7 Litre , - cm or - inches , - cm or - inches , - cm or - inches 
Acura Legend 1 Sedan 2.7i V6, 484 cm or 190.55 inches , 175 cm or 68.9 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.7i V6 Auto, 484 cm or 190.55 inches , 175 cm or 68.9 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.7i V6, 484 cm or 190.55 inches , 175 cm or 68.9 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.7i V6 Auto, 481 cm or 189.37 inches , 173.5 cm or 68.31 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.7i V6, 481 cm or 189.37 inches , 173.5 cm or 68.31 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.5i V6 Auto, 481 cm or 189.37 inches , 173.5 cm or 68.31 inches , 139 cm or 54.72 inches 
Acura Legend 1 Sedan 2.5i V6, 481 cm or 189.37 inches , 173.5 cm or 68.31 inches , 139 cm or 54.72 inches 
Acura Integra 1986 3-door 1.6i Auto, 428.5 cm or 168.7 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 3-door 1.6i, 428.5 cm or 168.7 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
Acura Integra 1986 3-door 1.6i Auto, 428.5 cm or 168.7 inches , 166.5 cm or 65.55 inches , 129 cm or 50.79 inches 
ZAZ 966 , 373 cm or 146.85 inches , 153 cm or 60.24 inches , 137 cm or 53.94 inches 
ZAZ 966 B, 373 cm or 146.85 inches , 153.5 cm or 60.43 inches  , 137 cm or 53.94 inches 
